name,cas_number,category,ifra_ncs,description
2306-78-7,Nerolidyl acetate (isomer unspecified),Synthetic,,
8016-37-3,Myrrh oil,Synthetic,,
7070-15-7,"exo-2-[(1,7,7-Trimethylbicyclo[2.2.1]hept-2-yl)oxy]ethanol",Synthetic,,
143-13-5,Nonyl acetate,Synthetic,,
68917-33-9,Lemon oil terpenes,Synthetic,,
687-47-8,Ethyl (L)-lactate,Synthetic,,
8007-00-9,"Balsam oil, Peru",Synthetic,,
94201-73-7,Tetrahydro-4-methyl-2-phenyl-2H-pyran,Synthetic,,
94087-23-7,"2-[7-Isopropyl-5-methylbicyclo[2.2.2]oct-5-en-2-yl]-1,3-dioxolane",Synthetic,,
104-54-1,Cinnamyl alcohol,Synthetic,,
8001-21-6,Sunflower oil,Synthetic,,
1034798-23-6,Jasmine sambac extract,Synthetic,,
5320-75-2,Cinnamyl benzoate,Synthetic,,
873888-84-7,"Benzoic acid, 2-hydroxy-, (3Z)-1-methyl-3-hexen-1-yl ester",Synthetic,,
2623-23-6,"l-Menthyl acetate (1alpha,2beta,5alpha)",Synthetic,,
8002-09-3,"Yarmor Pine oil, synthetic",Synthetic,,
8008-31-9,Mandarin oil,Synthetic,,
120-57-0,Piperonal,Synthetic,,
31570-04-4,"Tris(2,4-di-(tert)-butylphenyl) phosphate",Synthetic,,
76917-23-2,"2,​6-​Octadienal, (2E,​6Z)​-",Synthetic,,
928-97-2,trans-Hex-3-en-1-ol,Synthetic,,
188570-78-7,"Cyclopropanecarboxylic acid, (3Z)-3-hexenyl ester",Synthetic,,
8007-69-0,"Almond oil, sweet",Synthetic,,
67801-17-6,2-Furfuryleneoctanal,Synthetic,,
