name,cas_number,category,ifra_ncs,description
Linalool,78-70-6,Synthetic,,Fresh floral lavender note widely used in perfumery
Geraniol,106-24-1,Synthetic,,Rosy floral note with sweet character
Vanillin,121-33-5,Synthetic,,Classic vanilla note sweet and creamy
Galaxolide,1222-05-5,Synthetic,,Clean musk note polycyclic musk
d-Limonene,5989-27-5,Natural,A2.15,Fresh citrus note from orange and lemon peels
Benzyl acetate,140-11-4,Synthetic,,Fruity jasmine note sweet and floral
Citral,5392-40-5,Synthetic,,Strong lemon note aldehyde blend
Benzyl salicylate,118-58-1,Synthetic,,Soft floral balsamic note orchid-like
Hedione,24851-98-7,Synthetic,,Jasmine magnolia transparent floral
Citronellol,106-22-9,Synthetic,,Fresh rose geranium note
Eugenol,97-53-0,Natural,F2.15,Spicy clove cinnamon note
Coumarin,91-64-5,Synthetic,,Sweet tonka hay note lactonic
Alpha-Pinene,80-56-8,Natural,A2.15,Fresh pine forest note from conifers
Beta-Pinene,127-91-3,Natural,A2.15,Fresh pine woody note turpentine-like
Phenylethyl alcohol,60-12-8,Synthetic,,Fresh rose honey note
Anisaldehyde,123-11-5,Synthetic,,Sweet anise hawthorn note
Ethyl vanillin,121-32-4,Synthetic,,Intense vanilla note 3x stronger than vanillin
Iso E Super,54464-57-2,Synthetic,,Abstract woody amber cedarwood note
Ambroxan,6790-58-5,Synthetic,,Marine amber woody note highly diffusive
Calone,28940-11-6,Synthetic,,Marine aquatic watermelon note
Helional,1205-17-0,Synthetic,,Watery marine ozone note
Floralozone,67634-15-5,Synthetic,,Marine green watery note
Cyclamen aldehyde,103-95-7,Synthetic,,Floral lily cyclamen note
Lyral,31906-04-4,Synthetic,,Lily of the valley fresh floral note
Hydroxycitronellal,107-75-5,Synthetic,,Sweet lily muguet note floral
Linalyl acetate,115-95-7,Natural,J2.17,Lavender bergamot fresh note
Benzyl benzoate,120-51-4,Synthetic,,Balsamic sweet powdery note
Cinnamaldehyde,104-55-2,Natural,E2.15,Spicy cinnamon note warm and sweet
Menthol,89-78-1,Natural,J2.17,Cool minty fresh note from peppermint
Camphor,76-22-2,Natural,K2.15,Sharp medicinal woody note
Carvone,99-49-0,Natural,J2.17,Caraway spearmint note fresh
Terpineol,8000-41-7,Natural,A2.15,Pine lilac note floral woody
Isoamyl acetate,123-92-2,Synthetic,,Banana pear fruity note
Ethyl maltol,4940-11-8,Synthetic,,Cotton candy caramel sweet note
Damascenone,23726-93-4,Synthetic,,Rose fruity plum note powerful
Beta-Damascone,23726-91-2,Synthetic,,Fruity rose apple note
Alpha-Damascone,43052-87-5,Synthetic,,Fruity floral rose note
Rose ketone,23696-85-7,Synthetic,,Fresh rose damask note
Methyl ionone,127-51-5,Synthetic,,Violet iris woody note
Alpha-Ionone,127-41-3,Synthetic,,Violet floral woody note
Beta-Ionone,79-77-6,Synthetic,,Violet iris woody note powerful
Methyl dihydrojasmonate,24851-98-7,Synthetic,,Jasmine floral fresh note
Methyl jasmonate,1211-29-6,Synthetic,,Jasmine floral green note
Indole,120-72-9,Synthetic,,Intense floral animalic note
Skatole,83-34-1,Synthetic,,Animalic fecal jasmine note
Civet absolute,68915-79-9,Natural,H2.10,Animalic musk note from civet cats
Castoreum absolute,8023-83-4,Natural,H2.10,Leather animalic note from beaver
Musk ketone,81-14-1,Synthetic,,Classic nitro musk note clean
Musk xylene,81-15-2,Synthetic,,Clean laundry musk note
Ambrettolide,7779-50-2,Synthetic,,Musk floral sweet note macrocyclic
Exaltolide,106-02-5,Synthetic,,Musk powdery animalic note
Tonalid,21145-77-7,Synthetic,,Clean musk laundry note polycyclic
Cashmeran,33704-61-9,Synthetic,,Woody musky spicy note
Cetalox,28219-61-6,Synthetic,,Amber woody marine note
Timberol,65113-99-7,Synthetic,,Woody amber patchouli note
Vertofix,88-41-5,Synthetic,,Clean musk woody note
Habanolide,6259-76-3,Synthetic,,Fruity lactonic peachy note macrocyclic
Helvetolide,167482-67-7,Synthetic,,Fruity musk lactonic note
Romandolide,219880-76-7,Synthetic,,Clean musk floral note
Ethylene brassylate,105-95-3,Synthetic,,Musk musky sweet note
Pentadecanolide,106-02-5,Synthetic,,Animalic musk sweet note
Muscone,541-91-3,Synthetic,,Natural musk animalic note
Yuzu oil,8027-62-7,Natural,A2.20,Fresh citrus Japanese note
Orange oil sweet,8008-57-9,Natural,G2.20,Sweet orange citrus note
Lemon oil,8008-56-8,Natural,G2.20,Fresh lemon citrus note sharp
Bergamot oil,8007-75-8,Natural,A2.20,Floral citrus elegant note
Grapefruit oil,8016-20-4,Natural,G2.20,Fresh citrus bitter sweet note
Lime oil distilled,8008-26-2,Natural,A2.20,Sharp lime citrus note
Mandarin oil,8008-31-9,Natural,A2.20,Sweet mandarin citrus note
Petitgrain oil,8014-17-3,Natural,B2.20,Woody citrus neroli note
Neroli oil,8016-38-4,Natural,B2.20,Floral citrus orange blossom note precious
Lavender oil,8000-28-0,Natural,J2.17,Fresh herbal floral lavender note
