cas_number,name,ifra_naturals_category,category,description
2306-78-7,Nerolidyl acetate (isomer unspecified),,Essential Oils,Sweet floral woody note used in perfumery
8016-37-3,Myrrh oil,K2.12,Natural Extracts,Ancient aromatic resin with warm balsamic character
7070-15-7,exo-2-[(1 7 7-Trimethylbicyclo[2.2.1]hept-2-yl)oxy]ethanol,,Synthetic,Fresh woody note
143-13-5,Nonyl acetate,,Synthetic,Fresh fruity peach note
68917-33-9,Lemon oil terpenes,G2.30,Natural Extracts,Citrus terpene fraction with fresh lemon character
687-47-8,Ethyl (L)-lactate,,Synthetic,Mild fruity note with creamy undertones
8007-00-9,Balsam oil Peru,K2.9,Natural Extracts,Warm sweet vanilla-like balsamic note
94201-73-7,Tetrahydro-4-methyl-2-phenyl-2H-pyran,,Synthetic,Fresh floral rose character
104-54-1,Cinnamyl alcohol,,Synthetic,Spicy cinnamon hyacinth balsamic note
8001-21-6,Sunflower oil,F2.12,Natural Oils,Carrier oil for fragrance dilution
5320-75-2,Cinnamyl benzoate,,Synthetic,Sweet balsamic spicy note
2623-23-6,l-Menthyl acetate (1alpha 2beta 5alpha),,Synthetic,Fresh minty cooling note
8002-09-3,Yarmor Pine oil synthetic,,Synthetic,Fresh pine forest character
8008-31-9,Mandarin oil,G2.5,Natural Extracts,Sweet citrus mandarin character
120-57-0,Piperonal,,Synthetic,Sweet vanilla heliotrope cherry note
928-97-2,trans-Hex-3-en-1-ol,,Synthetic,Fresh green leafy note
8007-69-0,Almond oil sweet,H2.50,Natural Oils,Carrier oil with mild nutty character
141-12-8,Neryl acetate,,Synthetic,Fresh floral citrus rose note
106-24-1,Geraniol,,Synthetic,Rosy floral note widely used
78-70-6,Linalool,,Synthetic,Fresh floral lavender coriander note
80-54-6,Butylphenyl Methylpropional (Lilial),,Synthetic,Floral lily of the valley note
6259-76-3,Hexyl salicylate,,Synthetic,Fresh green floral note
1222-05-5,Galaxolide (HHCB),,Synthetic,Clean musk note with excellent substantivity
13171-00-1,Dihydromyrcenol,,Synthetic,Fresh lime citrus note
115-95-7,Linalyl acetate,,Synthetic,Fresh bergamot lavender note
3681-71-8,Hexyl cinnamaldehyde (HCA),,Synthetic,Floral chamomile jasmine note
101-86-0,Hexyl cinnamaldehyde,,Synthetic,Sweet floral jasmine note
5392-40-5,Citral,,Synthetic,Strong lemon citrus character
98-55-5,Alpha-Terpineol,,Synthetic,Pine lilac citrus note
106-22-9,Citronellol,,Synthetic,Fresh rosy citrus note
5989-27-5,d-Limonene,,Synthetic,Fresh citrus orange note
140-11-4,Benzyl acetate,,Synthetic,Fruity jasmine pear note
121-33-5,Vanillin,,Synthetic,Classic vanilla sweet note
8000-48-4,Eucalyptus oil,,Natural Extracts,Fresh camphoraceous medicinal note
8000-34-8,Clove oil,J2.20,Natural Extracts,Spicy warm eugenol character
8000-25-7,Rosemary oil,J2.15,Natural Extracts,Fresh herbaceous camphoraceous note
8006-90-4,Peppermint oil,J2.17,Natural Extracts,Cool minty refreshing character
8008-57-9,Orange oil sweet,G2.20,Natural Extracts,Sweet fresh orange character
8000-41-7,Terpineol (mixed isomers),,Synthetic,Lilac pine fresh character
90-17-5,Trichloromethyl phenylcarbinyl acetate,,Synthetic,Fresh aldehydic citrus note
18479-58-8,2,4-Dimethyl-3-cyclohexene carboxaldehyde,,Synthetic,Powerful fruity cyclamen note
32210-23-4,4-tert-Butylcyclohexyl acetate,,Synthetic,Fruity woody note
54464-57-2,Methyl dihydrojasmonate,,Synthetic,Floral jasmine hedione character
31906-04-4,Hydroxyisohexyl 3-cyclohexene carboxaldehyde,,Synthetic,Fresh floral muguet note
1205-17-0,alpha-Methylcinnamaldehyde,,Synthetic,Spicy cinnamon note
103-95-7,Cyclamen aldehyde,,Synthetic,Floral aldehydic lily character
105-87-3,Geranyl acetate,,Synthetic,Fruity rosy lavender note
1341-27-1,Methyl cedryl ketone,,Synthetic,Woody cedar vetiver character
127-51-5,alpha-Isomethyl ionone,,Synthetic,Woody floral violet orris note


